id;title;entity_field_name;type;table_column_name;column_width;hide_in_list;common_table_id;jhi_system;edit_in_list;client_read_only;field_values;jhi_order;not_null;validate_rules;tree_indicator
1;ID;id;LONG;id;100px;false;1;true;false;true;NULL;0;false;NULL;false
2;登录名;login;STRING;login;100px;false;1;true;false;false;NULL;1;true;NULL;false
3;密码;password;STRING;password_hash;100px;true;1;true;false;false;NULL;2;true;NULL;false
4;名字;firstName;STRING;first_name;100px;false;1;true;false;false;NULL;3;false;NULL;false
5;姓;lastName;STRING;last_name;100px;false;1;true;false;false;NULL;4;false;NULL;false
6;邮箱;email;STRING;email;100px;false;1;true;false;false;NULL;5;false;NULL;false
7;是否激活;activated;BOOLEAN;activated;100px;false;1;true;true;false;NULL;6;false;NULL;false
8;用户语言;langKey;STRING;lang_key;100px;true;1;true;false;false;NULL;7;false;NULL;false
9;头像地址;imageUrl;STRING;image_url;100px;false;1;true;false;false;NULL;8;false;NULL;false
10;激活码;activationKey;STRING;activation_key;100px;true;1;true;false;false;NULL;9;false;NULL;false
11;重置码;resetKey;STRING;reset_key;100px;true;1;true;false;false;NULL;10;false;NULL;false
12;重置时间;resetDate;ZONED_DATE_TIME;reset_date;100px;true;1;true;false;false;NULL;11;false;NULL;false
13;Id;id;STRING;id;100;false;2;true;false;false;NULL;0;false;NULL;false
14;processDefinitionId;processDefinitionId;STRING;processDefinitionId;100;false;2;true;false;false;NULL;0;false;NULL;false
15;processDefinitionUrl;processDefinitionUrl;STRING;processDefinitionUrl;100;false;2;true;false;false;NULL;0;false;NULL;false
16;processInstanceId;processInstanceId;STRING;processInstanceId;100;false;2;true;false;false;NULL;0;false;NULL;false
17;processInstanceUrl;processInstanceUrl;STRING;processInstanceUrl;100;false;2;true;false;false;NULL;0;false;NULL;false
18;executionId;executionId;STRING;executionId;100;false;2;true;false;false;NULL;0;false;NULL;false
19;name;name;STRING;name;100;false;2;true;false;false;NULL;0;false;NULL;false
20;description;description;STRING;description;100;false;2;true;false;false;NULL;0;false;NULL;false
21;deleteReason;deleteReason;STRING;deleteReason;100;false;2;true;false;false;NULL;0;false;NULL;false
22;owner;owner;STRING;owner;100;false;2;true;false;false;NULL;0;false;NULL;false
23;assignee;assignee;STRING;assignee;100;false;2;true;false;false;NULL;0;false;NULL;false
24;startTime;startTime;STRING;startTime;100;false;2;true;false;false;NULL;0;false;NULL;false
25;endTime;endTime;STRING;endTime;100;false;2;true;false;false;NULL;0;false;NULL;false
26;durationInMillis;durationInMillis;LONG;durationInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false
27;workTimeInMillis;workTimeInMillis;LONG;workTimeInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false
28;claimTime;claimTime;STRING;claimTime;100;false;2;true;false;false;NULL;0;false;NULL;false
29;taskDefinitionKey;taskDefinitionKey;STRING;taskDefinitionKey;100;false;2;true;false;false;NULL;0;false;NULL;false
30;formKey;formKey;STRING;formKey;100;false;2;true;false;false;NULL;0;false;NULL;false
31;priority;priority;STRING;priority;100;false;2;true;false;false;NULL;0;false;NULL;false
32;dueDate;dueDate;LONG;dueDate;100;false;2;true;false;false;NULL;0;false;NULL;false
33;parentTaskId;parentTaskId;STRING;parentTaskId;100;false;2;true;false;false;NULL;0;false;NULL;false
34;url;url;STRING;url;100;false;2;true;false;false;NULL;0;false;NULL;false
35;tenantId;tenantId;STRING;tenantId;100;false;2;true;false;false;NULL;0;false;NULL;false
