id;relationship_type;source_type;name;other_entity_field;relationship_name;other_entity_relationship_name;column_width;jhi_order;hide_in_list;font_color;background_color;help;owner_side;common_table_id;data_name;web_component_type;other_entity_is_tree;other_entity_name
1;MANY_TO_ONE;ENTITY;上传者;login;user;uploadFile;100;;false;;;;NULL;3;users;select;false;User
2;MANY_TO_ONE;ENTITY;上传者;login;user;uploadImage;100;;false;;;;NULL;4;users;select;false;User
3;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;5;dataDictionaries;;true;DataDictionary
4;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;;false;;;;NULL;5;dataDictionaries;treeSelect;true;DataDictionary
5;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;7;administrativeDivisions;;true;AdministrativeDivision
6;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;;false;;;;NULL;7;administrativeDivisions;treeSelect;true;AdministrativeDivision
7;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;8;authorities;;true;Authority
8;MANY_TO_MANY;ENTITY;用户;login;users;authority;100;;false;;;;true;8;users;select;false;User
9;MANY_TO_MANY;ENTITY;可视权限;text;viewPermission;authorities;100;;false;;;;true;8;viewPermissions;treeSelect;true;ViewPermission
10;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;;false;;;;NULL;8;authorities;treeSelect;true;Authority
11;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;9;viewPermissions;;true;ViewPermission
12;MANY_TO_MANY;ENTITY;API权限;name;apiPermissions;viewPermissions;100;;false;;;;true;9;apiPermissions;treeSelect;true;ApiPermission
13;MANY_TO_ONE;ENTITY;上级;text;parent;children;100;;false;;;;NULL;9;viewPermissions;treeSelect;true;ViewPermission
14;MANY_TO_MANY;ENTITY;Authorities;name;authorities;viewPermission;100;;false;;;;NULL;9;authorities;treeSelect;true;Authority
15;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;10;apiPermissions;;true;ApiPermission
16;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;;false;;;;NULL;10;apiPermissions;treeSelect;true;ApiPermission
17;MANY_TO_MANY;ENTITY;View Permissions;text;viewPermissions;apiPermissions;100;;false;;;;NULL;10;viewPermissions;treeSelect;true;ViewPermission
18;ONE_TO_MANY;ENTITY;字段;NULL;commonTableFields;commonTable;100;;false;;;;NULL;11;commonTableFields;;false;CommonTableField
19;ONE_TO_MANY;ENTITY;关系;NULL;relationships;commonTable;100;;false;;;;NULL;11;commonTableRelationships;;false;CommonTableRelationship
20;MANY_TO_ONE;ENTITY;创建人;login;creator;commonTable;100;;false;;;;NULL;11;users;select;false;User
21;MANY_TO_ONE;ENTITY;业务类型;name;businessType;commonTable;100;;false;;;;NULL;11;businessTypes;select;false;BusinessType
22;MANY_TO_ONE;ENTITY;所属表;name;commonTable;commonTableFields;100;;false;;;;NULL;12;commonTables;select;false;CommonTable
23;MANY_TO_ONE;ENTITY;关联实体;name;relationEntity;commonTableRelationship;100;;false;;;;NULL;13;commonTables;select;false;CommonTable
24;MANY_TO_ONE;ENTITY;字典表节点;name;dataDictionaryNode;commonTableRelationship;100;;false;;;;NULL;13;dataDictionaries;treeSelect;true;DataDictionary
25;MANY_TO_ONE;ENTITY;所属表;name;commonTable;relationships;100;;false;;;;NULL;13;commonTables;select;false;CommonTable
26;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;;false;;;;NULL;25;companyCustomers;;true;CompanyCustomer
27;ONE_TO_MANY;ENTITY;员工;NULL;companyUsers;company;100;;false;;;;NULL;25;companyUsers;;false;CompanyUser
28;ONE_TO_MANY;ENTITY;开通业务;NULL;companyBusinesses;company;100;;false;;;;NULL;25;companyBusinesses;;false;CompanyBusiness
29;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;;false;;;;NULL;25;companyCustomers;treeSelect;true;CompanyCustomer
30;MANY_TO_ONE;ENTITY;关联账户;firstName;user;companyUser;100;;false;;;;NULL;26;users;select;false;User
31;MANY_TO_ONE;ENTITY;所属单位;name;company;companyUsers;100;;false;;;;NULL;26;companyCustomers;treeSelect;true;CompanyCustomer
32;MANY_TO_ONE;ENTITY;业务类型;name;businessType;companyBusiness;100;;false;;;;NULL;27;businessTypes;select;false;BusinessType
33;MANY_TO_ONE;ENTITY;公司;name;company;companyBusinesses;100;;false;;;;NULL;27;companyCustomers;treeSelect;true;CompanyCustomer
34;MANY_TO_ONE;ENTITY;关联表;name;commonTable;uReportFile;100;;false;;;;NULL;29;commonTables;select;false;CommonTable
35;MANY_TO_ONE;ENTITY;关联表;name;commonTable;processTableConfig;100;;false;;;;NULL;30;commonTables;select;false;CommonTable
36;MANY_TO_ONE;ENTITY;创建人;login;creator;processTableConfig;100;;false;;;;NULL;30;users;select;false;User
37;ONE_TO_MANY;ENTITY;附件列表;NULL;images;leave;100;;false;;;;NULL;33;uploadImages;;false;UploadImage
38;MANY_TO_ONE;ENTITY;申请人;login;creator;leave;100;;false;;;;NULL;33;users;select;false;User
39;MANY_TO_ONE;ENTITY;上传者;login;user;uploadImage;100;;false;;;;NULL;4;users;select;false;User
40;MANY_TO_ONE;ENTITY;内容;name;leave;images;100;;false;;;;NULL;4;leaves;select;false;Leave
41;ONE_TO_MANY;ENTITY;条件项目;NULL;items;query;100;;false;;;;NULL;34;commonQueryItems;;false;CommonQueryItem
42;MANY_TO_ONE;ENTITY;编辑人;firstName;modifier;commonQuery;100;;false;;;;NULL;34;users;select;false;User
43;MANY_TO_ONE;ENTITY;所属模型;name;commonTable;commonQuery;100;;false;;;;NULL;34;commonTables;select;false;CommonTable
