id;name;area_code;city_code;merger_name;short_name;zip_code;level;lng;lat
1;Metal United Kingdom;quantify Kentucky;USB SAS;Moroccan Dirham;Gorgeous;14973;88793;47226;74207
2;calculate transmitting;synthesize Creative;withdrawal transmitting;architecture Denar;Plastic Division SMS;17829;15345;57357;29246
3;Balanced Indian Rupee Ngultrum;Frozen;Sleek Cotton Shoes Organized;cross-platform;transmit Human Chief;66179;27647;84958;32377
4;visualize Brand compress;Avon;program Mississippi Ridge;6th generation synthesizing Pants;Manager Brand Baby;47237-4403;31726;58098;37139
5;knowledge user recontextualize customer loyalty;Gorgeous Fresh Keyboard black;Cotton Saint Pierre and Miquelon Bhutan;deliverables;asymmetric process improvement;11205-6732;48865;8267;18186
6;Usability card;Mountain;aggregate PCI 24/365;Personal Loan Account;SQL PNG leverage;29000-5050;29096;69575;24294
7;Practical Avon Enhanced;metrics generate Cambridgeshire;Borders Fish;Concrete;24/365 Research;85412;12764;36017;81945
8;Kyat India;Kuwaiti Dinar Rhode Island THX;HTTP;virtual;infrastructures;55214-1136;63579;27178;24234
9;Music white Applications;Licensed Concrete Soap;Computer Investment Account;Wisconsin Investment Account Alabama;Self-enabling Agent;54833;77669;95205;87170
10;Dynamic;Branch Small Plastic Sausages maroon;Chicken;feed leading-edge;Handcrafted;23708;95125;42533;37339
