id;name;code;info;jhi_order;display
1;Research;Bedfordshire Grocery;Automated Investment Account Awesome Granite Shirt;87542;false
2;leverage bandwidth Internal;Concrete Practical Markets;Tuna;35953;false
3;cyan Health partnerships;alarm Grass-roots;Focused;37674;true
4;Pizza one-to-one;Auto Loan Account Fantastic;functionalities actuating;3321;true
5;bandwidth payment Architect;gold Coordinator;productivity pixel;26881;false
6;paradigms;deposit;Outdoors iterate Agent;5788;false
7;Soap Research;Product;indexing Front-line;44819;true
8;Sausages Germany Ball;program Awesome Soft Chicken;Data;59465;false
9;compressing;Clothing grey connecting;Customer Fresh;89377;false
10;back-end Barbados Dollar;Home Loan Account Outdoors Open-architected;Plastic;11385;false
