id;name;code;description;icon
1;GB;Coordinator Squares;turquoise;Turkey cyan National
2;responsive reinvent;Lodge Intelligent Wooden Pants;Infrastructure Bedfordshire hierarchy;invoice Shoes expedite
3;Common actuating;Michigan magenta;Usability leading-edge solid state;Auto Loan Account Barbados bricks-and-clicks
4;web-enabled;Cambridgeshire Gorgeous Wooden Shoes superstructure;Principal seize;Investment Account
5;Borders Pakistan Chicken;engage back-end;content-based payment;connecting Botswana Silver
6;synergy Bedfordshire turquoise;sky blue;Kwanza;Fish Somoni Maryland
7;Borders ADP Soft;calculating Haven;synthesize;Beauty
8;frictionless;Intranet;payment;Refined Communications
9;hub Sharable Cedi;model transmitter Cliff;black online Tasty;New Taiwan Dollar
10;actuating;Sao Tome and Principe cross-platform;Developer override District;Ergonomic Cotton Chair
