id;field_name;common_field_type;common_field_id;owner_type;owner_id
1;Practical Rubber Keyboard;Rwanda;59966;Fords Digitized Chips;9158
2;Accountability Missouri convergence;Luxembourg;48171;bypassing;90292
3;pixel extensible back up;copying workforce;43310;contingency FTP calculating;6706
4;attitude;Kuwaiti Dinar Mount;86656;leading edge Denar purple;65681
5;Chair Chips Markets;transmitter;53273;drive supply-chains incremental;62802
6;Music generating;Assistant markets;85456;Awesome paradigms;43275
7;Plastic Cocos (Keeling) Islands USB;global Markets;78362;Configuration Chief Security;61070
8;IB innovate;Handcrafted yellow Credit Card Account;77291;Peso Uruguayo Uruguay Peso en Unidades Indexadas lime;75870
9;bypassing Investment Account;Turks and Caicos Islands data-warehouse Customizable;55909;port Savings Account;44293
10;extranet;Malaysian Ringgit Plaza Toys;97375;Christmas Island best-of-breed Home Loan Account;48149
