id;name;entity_name;table_name;jhi_system;clazz_name;generated;creat_at;generate_at;generate_class_at;description;tree_table;base_table_id;record_action_width;list_config;form_config
1;THX Auto Loan Account evolve;Cambridgeshire;deposit;true;copying vertical;false;2020-06-20T22:49:18;2020-06-20T11:04:26;2020-06-20T19:58:20;Metal monitoring applications;false;26350;62200;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;hard drive;Moldovan Leu Georgia;Incredible ROI;false;dedicated calculate hack;false;2020-06-20T14:06:01;2020-06-20T14:42:39;2020-06-20T17:43:14;Cotton Front-line Soap;false;33691;55598;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Avon;proactive;HTTP definition parallelism;false;orchid;true;2020-06-21T07:29:45;2020-06-20T19:41:31;2020-06-20T10:02:51;Directives;false;55831;22721;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Human;engineer Sports neural;installation;true;Car e-commerce Moroccan Dirham;true;2020-06-20T18:04:14;2020-06-20T10:51:38;2020-06-21T06:12:33;Wooden Gloves;true;46849;19746;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;convergence Officer Uzbekistan Sum;attitude;violet XML;true;neural;true;2020-06-20T09:43:24;2020-06-20T09:12:56;2020-06-20T09:13:29;hacking;false;80420;77265;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;Mouse JBOD;Money Market Account Chair Flats;XSS Vision-oriented;false;application;false;2020-06-20T18:56:04;2020-06-20T21:05:58;2020-06-20T14:47:54;Trafficway directional connecting;false;94134;68078;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;AGP;Buckinghamshire;Shirt quantify;true;connect Steel withdrawal;true;2020-06-21T00:32:32;2020-06-21T03:10:51;2020-06-20T21:04:54;Persistent purple;false;75524;9701;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Concrete web-enabled bifurcated;Developer Data transmit;Practical Rubber Chair Skyway Checking Account;true;engineer Outdoors Bacon;true;2020-06-20T16:14:07;2020-06-21T03:44:54;2020-06-20T22:15:19;payment Concrete;false;26094;1188;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;Vanuatu Granite facilitate;redefine Bedfordshire;Industrial harness;true;Borders;false;2020-06-21T01:00:44;2020-06-20T09:12:16;2020-06-21T06:58:48;Multi-lateral;true;47512;210;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;Table;multi-byte transmitter Personal Loan Account;killer Buckinghamshire;true;enterprise;true;2020-06-20T08:26:54;2020-06-21T00:50:07;2020-06-20T15:39:33;embrace Credit Card Account;false;35934;16909;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
