id;title;entity_field_name;type;table_column_name;column_width;jhi_order;edit_in_list;hide_in_list;hide_in_form;enable_filter;validate_rules;show_in_filter_tree;fixed;sortable;tree_indicator;client_read_only;field_values;not_null;jhi_system;help;font_color;background_color
1;Freeway programming Station;SCSI Multi-tiered;UPLOAD_IMAGE;Hat Mouse;1198;46570;false;true;true;true;Metrics ability indexing;false;LEFT;true;true;false;Buckinghamshire Dynamic Norfolk Island;true;true;Global Garden;incremental Chair;compress Health
2;radical payment transmitting;Proactive;UPLOAD_IMAGE;Organic mesh;22;81002;true;false;false;false;user-centric info-mediaries;true;RIGHT;true;false;false;Directives relationships;false;false;embrace;aggregate;Montana transmitter overriding
3;Personal Loan Account;plum Somoni;ENUM;Optimization Secured Bedfordshire;933;93773;true;true;false;false;back up Car;true;RIGHT;true;false;false;1080p Harbors;true;false;yellow Mali application;Intelligent;invoice Associate
4;systems Rubber;empower;ENTITY;mobile navigating;175;59660;false;true;true;false;generate Tasty;false;LEFT;true;true;false;SMS;true;true;e-tailers;orchid payment model;6th generation fuchsia Cambridgeshire
5;Gibraltar Pound Plastic;SMTP;FLOAT;Money Market Account Configurable;426;11659;true;false;false;false;Cape Verde Escudo AGP deposit;true;LEFT;false;true;true;systematic orchid;true;true;Balanced synergize program;connect;payment Human copying
6;SSL driver;firewall;ENTITY;Home Loan Account Director Greens;515;29345;false;true;true;false;deploy parallelism;false;RIGHT;true;false;true;Berkshire demand-driven back up;false;false;Armenian Dram Qatari Rial orchestration;calculating 1080p;Investment Account Gloves
7;Small Granite Sausages Kids;Fundamental AGP;ENTITY;alarm scale Graphical User Interface;739;67170;false;false;true;true;benchmark e-services IB;false;LEFT;false;false;true;Oklahoma moratorium;false;true;Unbranded Wooden Keyboard Checking Account;Licensed National;architect support Triple-buffered
8;Toys Estonia;Wallis and Futuna Guarani;ENTITY;Comoros Practical;1050;56812;true;false;true;false;evolve Brand USB;true;RIGHT;true;true;false;e-markets whiteboard;false;false;neural brand;innovate Product;SAS redundant drive
9;Intelligent Fresh Shoes;online Auto Loan Account;DATA_DICTIONARY;Peso Uruguayo Uruguay Peso en Unidades Indexadas explicit;584;15477;false;false;true;false;synthesize parse;true;RIGHT;false;false;true;transmit Associate Extended;false;true;Intelligent Bacon;override;HDD
10;input matrix Riel;Agent deliver;MULTI_SELECT;blue American Samoa;830;37574;true;true;true;true;Indian Rupee impactful monetize;true;LEFT;true;true;false;Tuna bluetooth synthesize;true;true;RAM HTTP reboot;Virginia Sausages impactful;Maryland
