id;status;expiration_time;start_time;operate_user_id;group_id
1;TRIAL;2020-06-21T02:18:31;2020-06-20T22:18:20;57544;neural-net
2;CLOSE;2020-06-21T00:32:39;2020-06-20T21:29:32;25723;Plastic Pizza
3;OPEN;2020-06-20T23:20:33;2020-06-21T07:01:59;67682;embrace mission-critical virtual
4;OPEN;2020-06-21T01:19:44;2020-06-20T16:10:56;61615;Mouse override
5;CLOSE;2020-06-20T18:38:58;2020-06-20T22:33:37;29518;Paradigm Investment Account
6;CLOSE;2020-06-21T05:34:11;2020-06-20T20:25:11;54138;Small Granite Chips
7;OPEN;2020-06-20T22:56:34;2020-06-20T14:11:37;35709;frictionless
8;TRIAL;2020-06-21T06:27:58;2020-06-21T06:41:34;9858;bus
9;CLOSE;2020-06-20T13:47:48;2020-06-20T10:43:50;99305;Steel New Israeli Sheqel
10;OPEN;2020-06-20T15:30:21;2020-06-21T05:34:03;11530;Falls Bedfordshire
