id;name;content;create_at;update_at
1;panel Liaison;../fake-data/blob/hipster.txt;2020-06-20T09:18:45;2020-06-20T09:25:31
2;robust;../fake-data/blob/hipster.txt;2020-06-20T15:14:56;2020-06-20T09:48:07
3;Human challenge;../fake-data/blob/hipster.txt;2020-06-20T12:46:08;2020-06-20T11:26:02
4;Metal Wyoming Car;../fake-data/blob/hipster.txt;2020-06-21T03:47:52;2020-06-20T09:35:44
5;Chicken;../fake-data/blob/hipster.txt;2020-06-21T06:05:25;2020-06-21T05:23:31
6;Niue streamline Metal;../fake-data/blob/hipster.txt;2020-06-20T09:56:30;2020-06-20T13:02:26
7;Groves Handcrafted Steel Pants Chicken;../fake-data/blob/hipster.txt;2020-06-21T01:24:12;2020-06-21T06:13:38
8;Manat;../fake-data/blob/hipster.txt;2020-06-20T12:44:27;2020-06-20T19:21:35
9;bluetooth Place Gorgeous Cotton Car;../fake-data/blob/hipster.txt;2020-06-20T11:08:27;2020-06-20T15:58:39
10;capability solutions;../fake-data/blob/hipster.txt;2020-06-20T09:49:10;2020-06-20T13:32:05
